PLAYER_ID,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,PLAYER_NAME,FGA,FG3A,FTA,PTS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,FTA/FGA,PPS
1630598,2.2,3.2,0.692,0.6,1.5,0.398,0.2,0.5,0.389,0.3,1,0.333,0.2,0.6,0.386,1.2,2.9,0.401,0,0,0,Aaron Wiggins,9.6,4.5,1.2,12,0.2,0.596,0.577,120.7,0.125,1.25
1630583,1.8,2.4,0.731,1,2.1,0.493,0.2,0.5,0.406,0.3,0.8,0.423,0.2,0.6,0.368,1.3,3.6,0.362,0,0.1,0,Santi Aldama,10,5,1.4,12.5,0.179,0.588,0.576,116.1,0.14,1.25
1641708,3.7,5.2,0.72,1.2,2.6,0.442,0.4,1,0.382,0.1,0.3,0.471,0.2,0.5,0.324,0.1,0.5,0.143,0,0,0,Amen Thompson,10.1,1.3,3.6,14.1,0.172,0.602,0.575,114.2,0.356435644,1.396039604
1629631,1.4,2.2,0.617,1.2,2.4,0.487,0.6,1.3,0.494,0.3,0.9,0.382,0.3,1,0.361,1.8,4.2,0.422,0,0,0,De'Andre Hunter,11.9,6.1,4,17,0.221,0.623,0.573,115.9,0.336134454,1.428571429
1629028,3.5,4.7,0.741,1.9,3.8,0.497,1.1,2.4,0.458,0,0.2,0,0,0.2,0.125,0.1,0.4,0.313,0,0,0,Deandre Ayton,11.7,0.8,1.5,14.4,0.197,0.583,0.573,110,0.128205128,1.230769231
204001,2.1,3,0.69,1.6,3.3,0.475,0.5,1.4,0.356,0,0.2,0.286,0.1,0.2,0.4,2.3,5.5,0.416,0,0,0,Kristaps Porziņģis,13.7,6,4.7,19.5,0.253,0.618,0.572,116.2,0.343065693,1.423357664
201939,1.5,2.3,0.642,1.2,2.6,0.462,0.9,1.9,0.5,0.3,0.8,0.436,0.2,0.4,0.567,3.8,9.9,0.388,0,0.1,0.167,Stephen Curry,18,11.2,4.3,24.5,0.286,0.618,0.572,118.4,0.238888889,1.361111111
1627783,3.2,4.4,0.728,2,4,0.513,1,2.6,0.383,0.2,0.5,0.439,0.3,0.7,0.375,1.1,2.9,0.385,0,0,0,Pascal Siakam,15.2,4.2,3.9,20.2,0.237,0.599,0.572,114.5,0.256578947,1.328947368
2544,4.1,5.5,0.744,1.7,3.9,0.444,1.4,3.1,0.436,0.1,0.3,0.348,0.1,0.2,0.357,1.9,5.1,0.381,0,0,0,LeBron James,18.1,5.7,4.7,24.4,0.291,0.604,0.571,112.7,0.259668508,1.348066298
203078,1.8,2.5,0.737,1.7,3.1,0.543,1.1,2.5,0.421,0.4,1,0.46,0.2,0.7,0.351,1.2,3.3,0.373,0,0,0,Bradley Beal,13.1,5,2.6,17,0.219,0.598,0.571,110.6,0.198473282,1.297709924
1629627,6.1,9.5,0.641,3.4,6.8,0.502,0,0.3,0.125,0,0,0,0,0,0,0.1,0.4,0.273,0,0,0,Zion Williamson,16.9,0.4,8,24.6,0.325,0.6,0.57,113.7,0.473372781,1.455621302
1628969,2.2,3,0.755,1.7,3.3,0.519,1.3,2.6,0.507,0.5,1.2,0.388,0.7,1.5,0.455,0.9,2.8,0.305,0,0.1,0,Mikal Bridges,14.4,5.6,1.4,17.6,0.192,0.585,0.57,118.4,0.097222222,1.222222222
1626145,0.5,0.7,0.754,0.9,2.1,0.443,0.3,0.7,0.397,0.5,1,0.53,0.3,0.8,0.409,1.2,3.1,0.377,0,0,0,Tyus Jones,8.4,5,0.7,10.2,0.16,0.585,0.57,113.6,0.083333333,1.214285714
1628983,3.9,5.6,0.697,3,5.9,0.508,2.3,4.6,0.5,0.1,0.2,0.333,0,0,0.333,2.1,5.5,0.377,0,0,0,Shai Gilgeous-Alexander,21.8,5.7,8.8,32.7,0.336,0.637,0.569,122.4,0.403669725,1.5
1629651,3.3,4.6,0.715,1,2.7,0.377,0.2,0.5,0.364,0,0.1,0.25,0,0.1,0.25,0,0.2,0.231,0,0,0,Nic Claxton,8.1,0.3,2.2,10.3,0.166,0.569,0.568,103.6,0.271604938,1.271604938
1629018,0.4,0.8,0.534,0.5,1,0.474,0.5,1.2,0.4,0.4,0.8,0.468,0.3,0.6,0.489,1.7,4.4,0.396,0,0,0,Gary Trent Jr.,8.9,5.9,1.2,11.1,0.168,0.591,0.568,115.9,0.134831461,1.247191011
1628978,0.9,1.5,0.582,0.3,0.9,0.351,0,0.1,0.429,0.5,0.9,0.509,0.1,0.5,0.281,2.2,5.6,0.392,0,0,0,Donte DiVincenzo,9.6,7.1,1,11.7,0.188,0.582,0.568,114.2,0.104166667,1.21875
1629656,2.1,3,0.684,0.4,1,0.387,0.5,1.3,0.374,0.4,0.9,0.5,0.2,0.5,0.457,1.5,4.3,0.353,0,0,0,Quentin Grimes,11,5.6,2.9,14.6,0.218,0.595,0.565,111.9,0.263636364,1.327272727
1631110,3.7,5.4,0.68,0.4,1.3,0.31,0.1,0.3,0.188,0.1,0.3,0.4,0.1,0.4,0.217,0.3,1,0.321,0,0,0,Jeremy Sochan,8.7,1.7,2.3,11.4,0.184,0.589,0.565,111.9,0.264367816,1.310344828
1630217,2.5,3.7,0.677,1.4,3.3,0.432,0.8,1.7,0.496,0.2,0.7,0.32,0.1,0.5,0.303,2,4.9,0.412,0,0,0,Desmond Bane,14.8,6.1,2.9,19.2,0.227,0.6,0.565,116.1,0.195945946,1.297297297
1629639,1.9,3,0.654,2.5,4.5,0.556,0.8,1.7,0.436,0.2,0.5,0.472,0.3,0.6,0.444,2.8,7.6,0.365,0,0,0,Tyler Herro,17.9,8.7,4.2,23.9,0.271,0.605,0.563,113.9,0.234636872,1.335195531
